Word,FrequencyScore,totalReadingTime
soldurile,0.0,977
minime,3.87,453
legăturile,4.12,768
permise,3.67,1291
între,5.94,371
conturi,3.86,1016
de,7.72,287
exemplu,5.43,649
și,7.46,283
economii,3.87,332
regulile,4.57,604
deschidere,4.37,1054
a,7.45,435
contului,3.28,185
,0.0,
Liniile,4.3,1052
rigide,3.53,495
sunt,6.6,311
adesea,4.92,492
realizate,4.91,890
pentru,6.89,634
a,7.45,62
fi,6.59,51
presurizate,0.0,1194
cu,7.05,61
azot,3.77,311
sau,6.41,306
aer,5.11,186
deshidratat,0.0,1908
mii,5.04,1357
generate,3.98,1004
temperaturile,3.96,1369
în,7.47,122
energie,4.91,1263
wați,0.0,535
de,7.72,166
care,6.9,307
asigură,4.53,431
un,6.99,249
dielectric,0.0,2767
excelent,4.51,1454
chiar,6.06,376
și,7.46,189
la,7.21,63
ridicate,4.5,500
special,5.47,1306
timpul,5.8,513
căldurii,3.74,535
intense,3.97,482
vară,4.99,252
soarelui,4.63,373
,0.0,
Cu,7.05,498
toate,6.05,599
acestea,5.61,650
în,7.47,218
general,5.54,704
este,6.93,188
necesar,4.75,1303
să,7.14,184
se,6.77,245
aplice,3.66,374
aceste,5.63,433
legi,4.57,122
la,7.21,186
un,6.99,186
volum,4.77,369
de,7.72,819
control,4.99,699
infinitezimal,0.0,1595
apoi,5.76,371
utilizeze,3.86,554
ecuațiile,3.04,836
diferențiale,0.0,1160
rezultate,4.89,493
,0.0,
Aceste,5.63,1643
stiluri,4.0,449
de,7.72,49
pachete,3.91,803
nu,7.01,62
se,6.77,61
descurcă,3.75,1180
bine,6.02,310
împotriva,5.5,463
pachetelor,3.4,833
cu,7.05,152
orice,5.8,166
tip,5.41,1512
dezorganizare,0.0,1487
sau,6.41,267
control,4.99,500
așa,6.04,183
că,6.91,101
în,7.47,166
prezent,5.4,576
văd,5.16,251
prea,5.66,127
mult,6.2,315
,0.0,
Din,7.13,334
cauza,5.47,366
faptului,4.87,633
că,6.91,116
aparatul,4.4,1299
său,5.66,334
de,7.72,291
împerechere,3.43,2113
este,6.93,50
ghimpat,0.0,714
asemănător,4.23,987
cu,7.05,310
corpul,4.95,545
smuls,3.67,469
acesta,5.7,544
muncitor,3.96,797
unui,5.99,412
înțepătura,0.0,1517
va,6.5,300
fi,6.59,123
din,7.13,317
după,6.35,1080
împerechere,3.43,1532
iar,6.2,488
spre,5.8,202
cădea,4.17,782
pământ,5.12,627
singurul,4.99,494
rezultat,4.88,683
posibil,5.22,247
moartea,5.2,643
,0.0,
Romanii,4.2,1019
care,6.9,743
au,6.75,247
folosit,5.22,553
inițial,4.88,246
acest,6.02,392
stil,4.99,666
lau,3.01,234
considerat,4.9,532
greoi,3.3,328
și,7.46,334
greu,5.41,370
de,7.72,62
manevrat,3.23,1224
pe,7.06,187
muntoasă,3.05,2678
terenul,4.44,1638
accidentat,3.86,1641
al,6.63,608
Italiei,4.22,307
Pe,7.06,65
lângă,5.43,248
,0.0,
Pe,7.06,310
lângă,5.43,434
vocabularul,3.56,742
nou,5.76,300
ar,6.32,165
trebui,5.58,717
să,7.14,100
vă,6.06,1110
uitați,4.44,372
și,7.46,249
la,7.21,309
modul,4.93,248
în,7.47,494
care,6.9,601
se,6.77,101
conjugă,0.0,699
verbele,0.0,1169
funcție,5.32,372
de,7.72,123
subiectul,4.48,437
propoziției,0.0,370
,0.0,
Cu,7.05,465
dimensiuni,4.79,850
variate,4.18,560
de,7.72,235
la,7.21,125
lacuri,3.91,867
mari,5.64,349
și,7.46,117
văi,3.56,368
închise,4.34,416
iazuri,3.02,1552
îngropată,3.59,1711
lăsate,3.92,2092
urmă,5.47,498
miniatură,3.48,849
aceste,5.63,550
depresiuni,3.15,1609
au,6.75,125
fost,6.72,184
gheața,3.71,550
care,6.9,217
sa,6.39,233
topit,3.76,266
în,7.47,216
cele,6.14,683
din,7.13,417
,0.0,
Formarea,4.71,1031
acestui,5.24,1235
intermediar,3.88,1618
cea,5.96,261
reacția,4.37,1083
în,7.47,368
au,6.75,743
ulterioară,4.08,1053
general,5.54,565
o,7.11,52
barieră,3.73,849
de,7.72,63
energie,4.91,803
directă,4.56,545
necesară,4.66,932
decât,5.9,706
mică,5.26,228
mult,6.2,430
activare,3.42,1129
mai,6.99,117
pentru,6.89,1127
transformare,4.16,2871
a,7.45,494
reactanților,0.0,1537
produși,3.29,776
,0.0,
Acordurile,3.67,2434
dvs,5.29,368
juridice,4.43,617
ar,6.32,314
trebui,5.58,315
să,7.14,217
treacă,4.67,1351
prin,6.29,166
mai,6.99,602
multe,5.93,867
iterații,0.0,431
în,7.47,186
procesul,5.0,679
de,7.72,124
lizibilitatea,0.0,2933
simplificând,0.0,827
fiecare,5.78,376
redactare,3.33,804
iterație,0.0,274
termenii,4.25,434
și,7.46,67
îmbunătățind,0.0,965
utilizabilitatea,0.0,2597
acestora,5.11,995
,0.0,
Tot,6.1,384
ceea,5.91,116
ce,6.72,166
studiați,3.13,741
este,6.93,123
conceput,4.4,743
pentru,6.89,391
a,7.45,124
vă,6.06,184
pregăti,3.99,370
sinteze,3.29,501
organice,4.06,1890
și,7.46,61
alte,5.9,1449
transformări,3.8,2248
chimice,4.44,483
efectuate,4.57,1542
laborator,4.41,1370
rezultatele,4.67,994
,0.0,
Vă,6.06,247
va,6.5,188
duce,5.45,306
la,7.21,58
pagina,4.86,484
care,6.9,384
corespunde,4.26,966
cererii,3.91,672
dumneavoastră,5.1,1484
în,7.47,184
caz,5.37,311
contrar,4.11,619
afișa,3.38,1049
rezultatele,4.67,1238
căutării,3.37,805
,0.0,
Descrierea,4.36,1743
configurației,0.0,1706
relative,3.54,551
este,6.93,532
încă,5.73,448
utilizată,4.35,371
în,7.47,125
principal,5.11,808
glicochimie,0.0,1801
,0.0,
Acestea,5.61,806
transformă,4.42,929
,0.0,
Acestea,5.61,814
transformă,4.42,883
energia,4.6,483
solară,4.09,471
în,7.47,246
energie,4.91,679
chimică,3.98,789
prin,6.29,1266
absorbția,3.66,667
luminii,4.38,496
solare,4.25,740
și,7.46,186
utilizarea,4.87,954
acesteia,5.05,552
pentru,6.89,1066
a,7.45,300
stimula,3.41,991
sinteza,3.95,494
compușilor,3.11,815
organici,3.4,1132
cum,6.28,217
ar,6.32,116
fi,6.59,124
zahărul,3.47,990
din,7.13,188
carbon,4.28,497
dioxid,3.63,562
de,7.72,61
apă,5.49,124
,0.0,
Aceasta,5.66,1865
include,4.97,124
predarea,3.93,2234
practica,4.41,1307
generală,4.97,993
a,7.45,1643
medicinei,3.78,550
cercetarea,4.47,976
medicală,4.59,803
misionară,3.44,1359
antreprenoriatul,0.0,2689
religioase,4.62,1361
domeniile,4.4,805
munca,5.04,466
socială,4.88,386
dezvoltarea,5.1,666
coachingul,0.0,734
consilierea,3.07,526
publice,5.11,367
corporatistă,0.0,1405
formarea,4.71,911
comunitară,3.98,1182
artele,3.77,308
creative,3.94,370
actoria,3.09,684
radiodifuziunea,0.0,1266
consultanța,0.0,481
relațiile,4.75,449
publicitatea,3.54,434
și,7.46,62
marketingul,3.42,685
safanin,0.0,117
,0.0,
Clătirea,0.0,1904
cu,7.05,493
alcool,4.37,247
nu,7.01,123
îndepărtează,4.02,1231
cristalul,3.13,702
violet,4.02,366
care,6.9,740
maschează,0.0,1042
colorantul,0.0,1045
roșu,4.83,1810
adăugat,4.61,2265
safanin,0.0,2313
,0.0,
De,7.72,499
asemenea,5.79,601
a,7.45,268
fost,6.72,268
responsabil,4.63,1115
de,7.72,166
contrabandă,3.79,847
cu,7.05,102
droguri,4.51,733
și,7.46,122
crime,4.41,383
mituit,0.0,805
atât,5.86,558
poliția,4.83,309
cât,5.98,186
politicieni,4.4,552
importanți,4.42,685
,0.0,
Un,6.99,167
astfel,5.83,468
de,7.72,188
acces,4.77,123
ar,6.32,1057
putea,5.91,310
fi,6.59,123
utilizat,4.78,381
pentru,6.89,167
autentificarea,0.0,1153
la,7.21,62
conectare,3.38,1181
crearea,4.85,1836
unui,5.99,1201
recuperate,3.64,51
Un,6.99,283
nou,5.76,848
cont,4.78,62
de,7.72,65
utilizator,4.02,554
sau,6.41,308
salvarea,4.22,293
informații,5.14,517
textuale,0.0,633
pentru,6.89,435
a,7.45,66
fi,6.59,116
recuperate,3.64,712
și,7.46,1364
studiate,3.73,774
în,7.47,101
viitor,4.93,416
,0.0,
Eroul,4.13,1379
fost,6.72,465
apoi,5.76,50
chemat,4.55,785
să,7.14,122
participe,4.38,682
la,7.21,624
cel,6.17,125
deal,4.23,249
doilea,5.22,2102
rit,3.52,624
al,6.63,432
cuceririi,3.06,1017
învingândul,0.0,1631
Claudius,3.25,929
mercenar,3.31,863
generalul,4.6,556
pe,7.06,371
,0.0,
Au,6.75,435
produs,5.21,1231
,0.0,
Au,6.75,185
produs,5.21,123
peste,5.78,371
90,4.61,239
din,7.13,150
filmele,4.45,400
de,7.72,133
ficțiune,3.95,783
America,4.92,1291
și,7.46,311
șiau,0.0,622
distribuit,4.02,1458
atât,5.86,339
internațional,5.22,926
național,5.6,554
nivel,5.25,124
la,7.21,249
cât,5.98,64
,0.0,
În,7.47,495
schimb,5.1,187
trece,5.13,1056
imediat,5.22,496
la,7.21,62
biții,0.0,371
de,7.72,62
oprire,4.08,832
ceea,5.91,385
ce,6.72,184
reprezintă,5.38,999
o,7.11,257
recunoaștere,4.27,1551
a,7.45,593
faptului,4.87,1265
că,6.91,562
verificarea,3.79,1872
parității,0.0,2081
acest,6.02,247
nivel,5.25,556
este,6.93,370
cu,7.05,184
adevărat,5.32,434
inutilă,3.78,182
,0.0,
Am,6.63,765
discutat,4.63,413
deja,5.59,372
despre,6.22,1182
unele,5.49,450
dintre,6.11,186
acestea,5.61,734
însă,5.64,333
cunoașterea,4.3,1001
seturilor,0.0,743
adaugă,4.51,1641
nouă,5.36,600
definiție,4.1,692
pentru,6.89,492
fiecare,5.78,308
următoarele,5.14,1137
idei,4.56,268
În,7.47,61
cele,6.14,374
din,7.13,122
urmă,5.47,126
studiul,4.67,375
a,7.45,217
analizat,3.88,494
conversia,3.54,599
fosfolipidelor,0.0,3468
bogate,4.32,1149
în,7.47,350
polinesaturate,0.0,3619
C,5.51,64
fosfolipazei,0.0,2865
triacilgliceride,0.0,4063
prin,6.29,356
intermediul,4.95,783
unei,5.96,448
căi,4.37,335
,0.0,
Exercițiile,3.44,1234
și,7.46,165
secțiunile,3.65,713
de,7.72,730
recapitulare,0.0,868
contribuie,4.34,909
în,7.47,116
mod,5.57,367
ideal,4.17,349
la,7.21,101
un,6.99,232
model,4.94,401
conceput,4.4,686
repetiție,3.57,1053
formarea,4.71,247
,0.0,
Condițiile,4.8,1881
de,7.72,62
mediu,5.15,1005
cum,6.28,560
ar,6.32,249
fi,6.59,62
curentul,4.21,868
sau,6.41,124
gradienții,0.0,1184
temperatură,4.32,2014
determină,4.52,1784
două,6.0,298
formarea,4.71,2170
a,7.45,247
bule,3.5,654
care,6.9,231
conțin,4.61,318
concentrații,3.39,1075
similare,4.64,556
materiale,4.92,492
,0.0,
Lentilele,3.31,1316
cu,7.05,284
zoom,3.62,407
motorizate,0.0,950
controlate,4.06,1057
electronic,4.43,794
sunt,6.6,1067
amplasate,4.14,1198
ambele,5.03,721
atât,5.86,116
pe,7.06,564
lentile,3.67,429
cameră,4.86,1798
să,7.14,374
astfel,5.83,188
între,5.94,554
sincronizate,0.0,1402
proiector,3.01,659
cât,5.98,123
și,7.46,124
ele,5.43,184
încât,5.13,308
moment,5.47,496
mărească,3.35,1177
împreună,5.59,495
la,7.21,124
aceeași,5.24,369
distanță,4.85,311
focală,0.0,309
în,7.47,124
orice,5.8,245
Cu,7.05,50
toate,6.05,366
acestea,5.61,370
atenuarea,3.27,682
nu,7.01,246
poate,6.31,371
merge,5.16,648
decât,5.9,266
până,6.09,268
la,7.21,167
nivelul,5.07,232
plasticii,0.0,612
sinaptice,0.0,804
aspectele,4.11,808
neurobiologice,0.0,1673
corticale,0.0,690
a,7.45,67
creierului,4.16,432
deoarece,5.45,268
gravitatea,3.59,810
ADHD,3.39,310
depinde,4.77,621
în,7.47,123
principal,5.11,554
de,7.72,430
,0.0,
Configurația,3.6,983
poate,6.31,234
fi,6.59,168
de,7.72,116
asemenea,5.79,489
atribuită,3.67,621
pe,7.06,248
baza,5.43,185
pur,5.1,183
empirică,3.07,425
a,7.45,116
activității,4.67,334
optice,3.65,332
,0.0,
Adaugă,4.51,1924
un,6.99,124
buton,4.08,233
bara,3.95,334
de,7.72,115
instrumente,4.62,866
editare,3.86,495
din,7.13,118
editorul,3.68,632
surse,4.92,424
încât,5.13,493
legături,4.41,446
utilizatorilor,4.01,834
convenabil,3.88,906
cel,6.17,312
este,6.93,166
mai,6.99,310
pentru,6.89,365
paginile,4.14,834
discuții,4.27,1476
dacă,6.35,648
ale,6.25,372
cu,7.05,216
roșii,4.68,615
economisi,3.46,490
poate,6.31,248
dar,6.46,249
clic,3.49,62
sau,6.41,184
două,6.0,245
și,7.46,124
în,7.47,61
alte,5.9,185
cazuri,4.88,278
chiar,6.06,168
nu,7.01,101
la,7.21,51
fel,5.75,650
Twinkle,0.0,546
ca,6.69,177
rapid,5.02,338
,0.0,
Încurajat,4.02,916
de,7.72,62
susținătorii,3.84,670
din,7.13,187
sud,5.16,62
mulți,5.44,249
dintre,6.11,185
ei,6.12,124
iau,4.94,184
trimis,5.04,249
lui,6.47,61
Brooks,3.81,245
bastoane,0.0,551
noi,6.14,216
în,7.47,818
semn,4.88,604
aprobare,3.75,558
acțiunilor,4.26,370
sale,5.66,309
sa,6.39,61
întors,4.9,186
după,6.35,282
o,7.11,383
realegere,0.0,1146
răsunătoare,3.14,1261
,0.0,
El,6.13,612
crede,4.97,233
că,6.91,652
ei,6.12,51
exprimă,4.43,482
aceleași,4.57,851
preocupări,3.86,537
pe,7.06,186
care,6.9,372
le,6.31,62
simte,4.7,306
și,7.46,125
el,6.13,796
dar,6.46,101
întrun,0.0,267
mod,5.57,800
el,6.13,878
diferit,4.7,432
este,6.93,310
obligat,4.43,308
moral,4.15,721
să,7.14,118
tolereze,0.0,950
pentru,6.89,401
sunt,6.6,125
mai,6.99,495
slabi,3.94,122
decât,5.9,434
împărțiți,3.66,311
electronilor,0.0,123
,0.0,
Chimia,3.51,1548
organică,3.9,851
se,6.77,284
concentrează,4.21,821
asupra,5.67,312
carbonului,0.0,433
și,7.46,66
urmărește,4.54,498
mișcarea,4.63,534
în,7.47,294
precum,5.8,1381
inelele,3.45,1299
electronilor,0.0,1562
lanțurile,3.49,371
de,7.72,166
carbon,4.28,623
modul,4.93,248
care,6.9,420
electronii,0.0,834
sunt,6.6,816
atomi,3.36,334
alți,5.06,587
cu,7.05,111
împărțiți,3.66,1485
carbon,4.28,301
heteroatomi,0.0,616
,0.0,
La,7.21,1091
sfârșitul,5.16,435
secvenței,0.0,1429
o,7.11,186
racletă,0.0,307
îndepărtează,4.02,1238
tonerul,0.0,776
rămas,5.27,384
pe,7.06,65
tambur,3.17,434
și,7.46,101
întregul,4.51,817
proces,4.93,681
se,6.77,63
repetă,4.14,496
cu,7.05,61
nouă,5.36,344
imagine,4.74,66
descris,4.33,557
,0.0,
Urmăriți,4.21,900
câinele,4.12,615
pentru,6.89,465
a,7.45,62
vă,6.06,51
asigura,4.61,781
că,6.91,186
nu,7.01,123
scuipă,3.3,184
pastila,3.2,433
după,6.35,183
ce,6.72,184
mâncat,4.38,430
așa,6.04,117
forțați,3.58,974
acest,6.02,358
dacă,6.35,316
recompensa,3.53,1216
se,6.77,99
întâmplă,5.11,357
lucru,5.82,307
va,6.5,123
trebui,5.58,188
să,7.14,60
pastila,3.2,218
cum,6.28,267
este,6.93,783
descris,4.33,630
mai,6.99,124
jos,5.44,433
În,7.47,61
cadrul,5.68,125
,0.0,
În,7.47,369
cadrul,5.68,189
conferinței,4.07,1125
au,6.75,100
fost,6.72,267
prezentate,4.53,717
datele,4.68,167
inițiale,4.07,459
ale,6.25,248
analizei,3.91,248
medicamentului,3.36,1362
cardiovasculare,3.44,1558
boli,4.7,399
pentru,6.89,451
simvastatin,0.0,1734
,0.0,
Peroxidul,0.0,850
de,7.72,672
hidrogen,3.72,666
se,6.77,185
va,6.5,310
degrada,0.0,1735
spontan,3.82,1956
în,7.47,216
apă,5.49,682
oxigen,4.28,2998
punctul,4.94,939
spațiale,3.92,495
molecular,3.07,2061
însă,5.64,1055
accelerează,3.63,984
catalizator,3.34,2478
unui,5.99,670
prezența,4.94,984
această,5.93,348
reacție,4.52,802
până,6.09,431
la,7.21,187
care,6.9,619
a,7.45,248
combustibil,4.28,1309
sursă,4.77,870
ca,6.69,53
folosit,5.22,513
pentru,6.89,433
torpile,3.45,549
și,7.46,233
chiar,6.06,317
nave,4.5,112
,0.0,
Chitara,3.84,517
este,6.93,467
un,6.99,124
instrument,4.51,678
de,7.72,123
transpoziție,0.0,2101
notată,3.09,552
cu,7.05,248
o,7.11,124
octavă,0.0,495
mai,6.99,309
sus,5.41,311
decât,5.9,994
standard,4.77,1772
notația,0.0,1265
înălțimea,4.45,1410
sa,6.39,932
reală,4.61,401
pentru,6.89,497
a,7.45,63
evita,4.42,311
utilizarea,4.87,307
clapei,0.0,558
bas,3.61,463
în,7.47,60
,0.0,
Atașarea,3.08,1496
la,7.21,187
fibră,3.75,370
este,6.93,122
atribuită,3.67,1613
cel,6.17,371
puțin,5.78,432
parțial,4.57,186
formării,4.05,1142
de,7.72,183
săruri,3.58,683
între,5.94,290
grupele,4.02,697
cationice,0.0,804
din,7.13,188
anionice,0.0,755
coloranți,3.49,1051
și,7.46,168
fibră,3.75,184
,0.0,
În,7.47,167
acest,6.02,167
sistem,5.25,865
compușii,3.15,628
sunt,6.6,306
denumiți,3.13,922
prin,6.29,493
analogie,3.51,1112
cu,7.05,126
gliceraldehida,0.0,2137
ceea,5.91,740
ce,6.72,249
neambigue,0.0,2715
denumiri,3.86,1040
general,5.54,1244
în,7.47,186
produce,4.88,1041
dar,6.46,217
este,6.93,231
cel,6.17,245
mai,6.99,309
ușor,5.42,184
de,7.72,124
observat,4.75,682
cazul,5.39,523
gliceraldehidei,0.0,2685
similare,4.64,994
biomolecule,0.0,1603
micilor,3.67,984
,0.0,
Suzuki,3.41,495
Pureharp,0.0,2178
este,6.93,247
unul,5.86,247
dintre,6.11,249
modele,4.64,1063
micile,3.86,855
de,7.72,1365
producție,4.89,716
care,6.9,156
folosesc,4.92,1262
lemnul,4.0,1814
ca,6.69,556
acoperire,4.35,1593
ceea,5.91,63
ce,6.72,121
produce,4.88,807
un,6.99,124
sunet,4.39,293
plăcut,4.96,417
,0.0,
Este,6.93,1083
utilizat,4.78,1928
de,7.72,433
sistemul,5.26,10938
imunitar,3.63,583
pentru,6.89,649
sinteza,3.95,433
ADNului,0.0,804
vindecarea,3.68,614
rănilor,3.57,310
hormonală,0.0,1213
și,7.46,299
creșterea,4.95,701
dezvoltarea,5.1,780
normală,4.45,803
în,7.47,123
perioadele,4.18,479
cu,7.05,333
activitate,5.1,666
,0.0,
O,7.11,126
utilizare,4.52,683
intensă,4.2,933
a,7.45,115
spiderului,0.0,2203
poate,6.31,62
duce,5.45,434
la,7.21,62
blocarea,3.69,620
accesului,3.78,431
site,5.43,310
cu,7.05,447
prejudicii,3.14,1281
dumneavoastră,5.1,1162
IPului,0.0,486
sau,6.41,311
,0.0,
Folosește,4.83,739
aceleași,4.57,871
forme,4.85,374
de,7.72,124
acorduri,3.97,1122
ca,6.69,232
și,7.46,167
Open,4.44,716
E,6.39,52
dar,6.46,183
este,6.93,229
mai,6.99,184
ușor,5.42,310
pentru,6.89,1051
gâtul,3.97,643
tensiunea,4.16,1059
chitarei,0.0,1035
deoarece,5.45,794
corzile,3.28,743
sunt,6.6,432
dezacordate,0.0,1096
reducând,3.7,918
,0.0,
Deși,5.55,315
unele,5.49,310
cadre,4.3,249
sunt,6.6,314
prevăzute,4.24,544
cu,7.05,181
trei,5.81,167
orificii,3.23,584
pentru,6.89,333
știfturile,0.0,2635
poziționare,3.43,1364
anumită,4.62,784
doar,6.14,559
funcționează,4.93,1187
să,7.14,203
frâne,3.19,916
întro,0.0,933
poziție,4.74,650
așa,6.04,350
că,6.91,874
timpul,5.8,372
dezasamblării,0.0,1238
fost,6.72,180
rețineți,3.37,751
trebuie,6.15,216
ce,6.72,182
folosite,5.0,300
,0.0,
Aceasta,5.66,374
este,6.93,124
doar,6.14,431
una,5.69,254
dintre,6.11,448
numeroasele,4.07,667
realizări,4.09,1773
modul,4.93,491
ale,6.25,244
ingineriei,3.26,988
care,6.9,990
neau,0.0,234
permis,4.83,717
nutriție,3.52,857
să,7.14,437
cuantificăm,0.0,964
și,7.46,62
înțelegem,4.36,549
gena,3.49,500
umană,4.69,401
în,7.47,63
aceasta,5.66,249
legată,4.55,331
de,7.72,615
În,7.47,63
nordul,4.49,430
Europei,4.9,559
nordul,4.49,308
Germaniei,4.4,619
Țările,4.87,123
de,7.72,62
Jos,5.44,61
și,7.46,117
Franța,4.99,309
clasa,5.02,167
mijloc,4.69,383
avea,5.98,600
tendința,4.26,781
fi,6.59,183
protestantă,3.34,993
ceea,5.91,433
ce,6.72,62
corespundea,0.0,519
cu,7.05,51
etica,3.72,333
filozofia,3.77,366
muncii,4.76,283
O,7.11,63
astfel,5.83,803
de,7.72,122
cavitate,0.0,435
poate,6.31,122
oferi,4.79,190
numeroase,4.96,497
avantaje,4.05,496
funcționale,4.08,556
,0.0,
Pentru,6.89,567
a,7.45,64
obține,4.97,517
acest,6.02,566
câmp,4.5,218
camera,5.08,371
trebuie,6.15,605
să,7.14,123
fie,6.13,174
suficient,4.97,370
de,7.72,124
reverberantă,0.0,780
iar,6.2,633
evita,4.42,171
frecvențele,3.36,765
înalte,4.59,922
pentru,6.89,384
efectele,4.49,299
modurilor,0.0,817
predominante,3.11,823
,0.0,
Vacuola,0.0,1035
alimentară,4.04,774
formată,4.57,369
,0.0,61
apoi,5.76,494
fuzionează,0.0,633
cu,7.05,203
un,6.99,232
lizozom,0.0,384
și,7.46,216
digeră,0.0,449
alimentele,3.61,715
,0.0,
Toate,6.05,569
celelalte,4.99,666
lucruri,5.37,475
fiind,5.94,559
egale,4.27,368
nucleofilii,0.0,742
sunt,6.6,223
în,7.47,217
general,5.54,349
comparați,0.0,701
între,5.94,1085
ei,6.12,560
reactivitatea,0.0,926
privește,5.09,515
ceea,5.91,555
ce,6.72,123
relativă,3.75,1097
,0.0,
Proiectele,4.15,1049
de,7.72,123
lege,4.75,309
private,4.58,372
afectează,4.23,1359
o,7.11,165
anumită,4.62,268
companie,4.94,575
persoană,5.23,368
sau,6.41,185
altă,5.43,184
entitate,4.1,439
publice,5.11,498
anumite,5.01,965
de,7.72,189
exemplu,5.43,556
autorizarea,3.35,679
unor,5.72,245
construcții,4.79,301
majore,4.57,500
pe,7.06,117
terenuri,4.45,267
,0.0,
Faceți,5.01,651
clic,3.49,167
pe,7.06,100
butonul,4.2,450
MAC,4.4,331
sau,6.41,186
WIN,3.51,308
atașat,4.05,246
pentru,6.89,433
a,7.45,63
descărca,3.4,370
fișierul,3.69,248
font,4.06,311
zipat,0.0,373
,0.0,
Motivul,4.82,951
pentru,6.89,232
care,6.9,267
leziunile,3.34,1997
hipotalamice,0.0,1420
afectează,4.23,567
grăsimea,3.4,650
corporală,3.71,494
și,7.46,309
semnalizarea,3.06,1441
are,6.19,314
comportamentul,4.41,1862
alimentar,3.85,281
de,7.72,167
fapt,5.49,125
mult,6.2,62
dea,5.14,61
face,6.08,558
leptinei,0.0,510
a,7.45,933
,0.0,
Sa,6.39,246
spus,5.72,313
că,6.91,522
a,7.45,116
trebuit,4.89,432
să,7.14,102
își,5.66,217
croiască,0.0,567
drum,5.16,281
prin,6.29,361
păduri,4.21,308
fără,5.95,185
urme,4.37,493
ceea,5.91,308
ce,6.72,122
îndoială,4.54,623
acest,6.02,410
puțin,5.78,332
cel,6.17,232
cazul,5.39,269
fost,6.72,531
în,7.47,124
oraș,5.35,247
,0.0,
Acest,6.02,1493
lucru,5.82,369
este,6.93,122
foarte,6.14,501
foarte,6.14,335
diferit,4.7,448
de,7.72,115
modelele,4.26,1310
pasive,3.38,843
citire,3.8,310
textului,4.11,481
întro,0.0,487
creierul,4.4,113
încercarea,4.37,65
viteză,4.68,50
mare,6.17,51
,0.0,
Acest,6.02,352
manieră,4.16,943
liniară,3.34,435
de,7.72,124
mare,6.17,248
viteză,4.68,800
care,6.9,432
se,6.77,184
aseamănă,3.79,1299
cu,7.05,162
încercarea,4.37,843
a,7.45,123
forța,4.7,249
creierul,4.4,677
să,7.14,849
mie,5.03,420
găsească,4.64,851
un,6.99,166
sens,4.92,288
la,7.21,187
o,7.11,192
gloanțe,3.66,310
trec,4.69,186
viteză,4.68,449
,0.0,
Ca,6.69,765
adjective,3.06,859
terminațiile,0.0,806
lor,5.88,247
variază,4.19,1053
în,7.47,63
funcție,5.32,248
de,7.72,62
substantivele,0.0,679
pe,7.06,122
care,6.9,62
le,6.31,186
modifică,3.97,447
,0.0,
În,7.47,132
ciuda,4.85,166
acestui,5.24,692
fapt,5.49,310
putem,5.48,686
vedea,5.33,185
că,6.91,185
există,5.67,247
încă,5.73,464
o,7.11,116
anumită,4.62,566
interacțiune,3.7,567
între,5.94,432
asupra,5.67,550
moderatoare,0.0,761
influență,4.49,372
McGonagall,0.0,862
McGonagall,0.0,1241
Dumbledore,3.24,994
și,7.46,247
fiind,5.94,247
Dumbledore,3.24,511
de,7.72,150
fermă,4.22,729
părților,3.94,484
tuturor,5.18,1341
în,7.47,123
timp,6.1,246
ce,6.72,239
manifestă,4.36,450
loialitate,3.71,303
față,5.6,217
utilizați,3.88,51
cel,6.17,293
,0.0,
De,7.72,621
asemenea,5.79,618
este,6.93,369
posibil,5.22,515
să,7.14,64
existe,4.48,935
taxe,4.14,232
de,7.72,61
licență,4.39,630
separate,4.21,932
pentru,6.89,553
distribuția,4.12,618
GIF,3.03,423
brevetate,0.0,919
multimedia,4.01,1413
date,5.38,493
formate,4.31,1448
cum,6.28,384
ar,6.32,115
fi,6.59,167
imaginile,4.16,429
care,6.9,313
dacă,6.35,1228
nu,7.01,617
fapt,5.49,347
GFDL,0.0,1017
fotografia,4.29,448
sau,6.41,254
punct,5.39,420
din,7.13,478
cel,6.17,544
puțin,5.78,601
vedere,5.57,308
filozofic,3.2,1187
încalcă,3.69,667
principiile,4.33,382
împiedicânduvă,0.0,1899
liber,5.16,418
utilizați,3.88,400
imaginea,4.64,332
,0.0,
Întreaga,5.14,909
aplicație,4.13,574
asamblată,0.0,753
este,6.93,622
platforma,4.32,994
iar,6.2,60
birourile,3.69,573
personalului,4.13,1482
afectat,4.34,717
reprezintă,5.38,783
domeniul,5.22,483
țintă,4.4,323
pentru,6.89,250
munca,5.04,250
lor,5.88,124
,0.0,
Utilizarea,4.87,495
modernă,4.63,620
a,7.45,62
emoticoanelor,0.0,620
în,7.47,62
discuțiile,3.93,373
electronice,4.46,928
se,6.77,62
datorează,4.43,432
general,5.54,618
1982,4.57,311
din,7.13,558
propuneri,4.09,433
unei,5.96,369
,0.0,
Oasele,3.98,783
neregulate,3.36,1714
au,6.75,188
forme,4.85,435
deosebite,4.46,994
nu,7.01,201
pot,6.07,117
fi,6.59,100
grupate,3.78,433
sub,5.85,100
capetele,3.97,654
precedente,3.97,1050
și,7.46,62
sunt,6.6,867
folosite,5.0,308
pentru,6.89,246
atașarea,3.08,749
mușchilor,3.73,431
articulații,3.36,554
,0.0,
Calcularea,3.46,1311
unor,5.72,216
astfel,5.83,332
de,7.72,117
capacități,3.76,545
și,7.46,62
fie,6.13,124
exploatarea,4.26,991
lor,5.88,248
luarea,4.0,435
măsurilor,3.8,739
